Preferred Label,Definitions,Parents
Plasmacytoid dendritic cell,"A dendritic cell type of distinct morphology, localization, and surface marker expression (CD123-positive) from other dendritic cell types and associated with early stage immune responses, particularly the release of physiologically abundant amounts of type I interferons in response to infection.",plasmacytoid dendritic cell(CL_0000784)
Centrocyte B cell,"A lymphocyte of B lineage with the phenotype CD19-positive, CD20-positive, and capable of B cell mediated immunity.",B cell(CL_0000236)
Eosinophil,"Any of the immature or mature forms of a granular leukocyte with a nucleus that usually has two lobes connected by one or more slender threads of chromatin, and cytoplasm containing coarse, round granules that are uniform in size and which can be stained by the dye eosin. Eosinophils are CD9-positive, CD191-positive, and CD193-positive.|Eosinophils are also CD14-negative, CD32-positive, CD44-positive, CD48-positive, CD69-positive, CD192-negative, MBP1-positive, MBP2-positive, TLR2-negative, TLR4-negative, and lineage-negative (B220, CD2, CD14, CD19, CD56, CD71, CD117, CD123, CD235a (glycophorin A), and TER119). The cytokines IL-3, IL-5, and GM-CSF are involved in their development and differentiation. Usually considered CD16-negative, CD16 is observed on eosinophilic metamyelocyte.",eosinophil(CL_0000771)
Proliferating T cell,A type of lymphocyte whose defining characteristic is the expression of a T cell receptor complex.,T cell(CL_0000084)
Activated T cell,A type of lymphocyte whose defining characteristic is the expression of a T cell receptor complex.,T cell(CL_0000084)
Ductal cell,Epithelial cell found in the ducts of the pancreas. This cell type contributes to the high luminal pH.,pancreatic ductal cell(CL_0002079)
Satellite cell,A non-neuronal cell that surrounds the neuronal cell bodies of the ganglia.,perineuronal satellite cell(CL_0000516)
Exocrine cell,A cell of an exocrine gland; i.e. a gland that discharges its secretion via a duct.,exocrine cell(CL_0000152)
Alpha cell,A type of enteocrine cell found in the periphery of the islets of Langerhans that secretes glucagon.,pancreatic A cell(CL_0000171)
Beta cell,"A cell that secretes insulin and is located towards the center of the islets of Langerhans.|Pancreatic beta cells are also reportedly CD284-positive. Upon activation, they upregulate their CD14 expression.",type B pancreatic cell(CL_0000169)
Kuppfer cell,"A tissue-resident macrophage of the reticuloendothelial system found on the luminal surface of the hepatic sinusoids involved in erythrocyte clearance. Markers include F4/80+, CD11b-low, CD68-positive, sialoadhesin-positive, CD163/SRCR-positive. Irregular, with long processes including lamellipodia extending into the sinusoid lumen, have flattened nucleus with cytoplasm containing characteristic invaginations of the plasma membrane (vermiform bodies); lie within the sinusoid lumen attached to the endothelial surface; derived from the bone marrow, form a major part of the body's mononuclear phagocyte system.|Markers: Mouse: F4/80+, CD11b-low, CD68+, sialoadhesin+, CD163/SRCR+; role or process: immune, antigen-presentation, clearance of senescent erythrocytes, iron metabolism. Kupffer cells are also reportedly C3aR-positive, CD14-low, CD54-positive, CD88-positive, and CD284-positive. They are also capable of producing IL-1, IL-6, TNF-alpha, nitric oxide, PGD2, PGE2, PGF2alpha, and TXA2.",Kupffer cell(CL_0000091)
Haematopoietic stem and progenitor cell,"A stem cell from which all cells of the lymphoid and myeloid lineages develop, including blood cells and cells of the immune system. Hematopoietic stem cells lack cell markers of effector cells (lin-negative). Lin-negative is defined by lacking one or more of the following cell surface markers: CD2, CD3 epsilon, CD4, CD5 ,CD8 alpha chain, CD11b, CD14, CD19, CD20, CD56, ly6G, ter119.|Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",hematopoietic stem cell(CL_0000037)
Hepatocyte,"The main structural component of the liver. They are specialized epithelial cells that are organized into interconnected plates called lobules. Majority of cell population of liver, polygonal in shape, arranged in plates or trabeculae between sinusoids; may have single nucleus or binucleated.|Hepatocytes are reportedly MHC Class I-positive and MHC Class II-positive.",hepatocyte(CL_0000182)
Follicular epithelial cell,,follicular epithelial cell(CL_0000500)
lonocyte,Other cell types,Unclassified cells
Proliferating cell,Other cell types,Unclassified cells
Epithelial progenitor cell,Other cell types,Unclassified cells
Fasciculata cell,Other cell types,Unclassified cells
Differentiated spermatogonia,Other cell types,Unclassified cells
Differentiating spermatogonia,Other cell types,Unclassified cells
Spermatogenic cell,Other cell types,Unclassified cells
Spermatogonial stem cell,Other cell types,Unclassified cells
Macrophage/Neutrophil,Not sure which cluster it belongs to,Unclassified cells
Intercalated cell,Other cell types,Unclassified cells
Principle cell,Other cell types,Unclassified cells
Intercalated cell/Princple cell,Not sure which cluster it belongs to,Unclassified cells
Ureteric bud cell,Other cell types,Unclassified cells
Neuroglial cell,Other cell types,Unclassified cells
Pit cell,Other cell types,Unclassified cells
Autonomic nervous system,Other cell types,Unclassified cells
native cell(CL_0000003),"A cell that is found in a natural setting, which includes multicellular organism cells 'in vivo' (i.e. part of an organism), and unicellular organisms 'in environment' (i.e. part of a natural environment).|To accommodate unicellular organisms better, 'cell in vivo' has been re-labeled 'native cell' to better represent its intended meaning - that is, that it is a cell in the context of a multicellular organism or in a natural environment. 'Native' is intended to contrast with 'in vitro', which refers to cells or other biological entities that have been intentionally placed in a controlled, non-natural setting for the purpose of study or manipulation. (MAH 1.12.12).",cell(CL_0000000)
smooth muscle cell(CL_0000192),"A non-striated, elongated, spindle-shaped cell found lining the digestive tract, uterus, and blood vessels. They develop from specialized myoblasts (smooth muscle myoblast).",non-striated muscle cell(CL_0008000)|visceral muscle cell(CL_0008007)
respiratory epithelial cell(CL_0002368),An endo-epithelial cell of the respiratory tract.,endo-epithelial cell(CL_0002076)
bronchial goblet cell(CL_1000312),A goblet cell that is part of the epithelium of bronchus.,tracheobronchial goblet cell(CL_0019003)|bronchial epithelial cell(CL_0002328)
endothelial cell(CL_0000115),"An endothelial cell comprises the outermost layer or lining of anatomical structures and can be squamous or cuboidal. In mammals, endothelial cell has vimentin filaments and is derived from the mesoderm.|From FMA: 9.07.2001: Endothelial cell has always been classified as a kind of epithelial cell, specifically a squamous cell but that is not true. First, endothelial cell can either be squamous or cuboidal (e.g. high-endothelial cell) and secondly, it has different embryological derivation (mesodermal) than a true epithelial cell (ectodermal and endodermal). The basis for present classification is the fact that it comprises the outermost layer or lining of anatomical structures (location-based) but a better structural basis for the differentia is the cytoskeleton of the cell. Endothelial cell has vimentin filaments while an epithelial cell has keratin filaments. [Onard].",lining cell(CL_0000213)|meso-epithelial cell(CL_0002078)
ciliated columnar cell of tracheobronchial tree(CL_0002145),"A ciliated columnar cell found in the trachea and bronchus. Vary from low to tall columnar; possesses up to 300 cilia at its surface, interspersed with long irregular microvilli with the cilia varying in length from about 6um in the trachea to about 4um in the terminal bronchioles; driving force of the ciliary current in the bronchial tree.",epithelial cell of tracheobronchial tree(CL_0002202)|multi-ciliated epithelial cell(CL_0005012)
basal cell of epithelium of trachea(CL_1000348),A basal cell that is part of the epithelium of trachea.,respiratory basal cell(CL_0002633)|tracheal epithelial cell(CL_0000307)
macrophage(CL_0000235),"A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells.|Morphology: Diameter 30_M-80 _M, abundant cytoplasm, low N/C ratio, eccentric nucleus. Irregular shape with pseudopods, highly adhesive. Contain vacuoles and phagosomes, may contain azurophilic granules; markers: Mouse & Human: CD68, in most cases CD11b. Mouse: in most cases F4/80+; role or process: immune, antigen presentation, & tissue remodelling; lineage: hematopoietic, myeloid.",professional antigen presenting cell(CL_0000145)|phagocyte(CL_0000234)|myeloid leukocyte(CL_0000766)
fibroblast(CL_0000057),"A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.|These cells may be vimentin-positive, fibronectin-positive, fsp1-positive, MMP-1-positive, collagen I-positive, collagen III-positive, and alpha-SMA-negative.",connective tissue cell(CL_0002320)
B cell(CL_0000236),"A lymphocyte of B lineage with the phenotype CD19-positive, CD20-positive, and capable of B cell mediated immunity.",lymphocyte of B lineage(CL_0000945)
tracheobronchial chondrocyte(CL_0019002),Any chondrocyte that is part of the tracheobronchial tree.,chondrocyte(CL_0000138)
T cell(CL_0000084),A type of lymphocyte whose defining characteristic is the expression of a T cell receptor complex.,lymphocyte(CL_0000542)
stromal cell(CL_0000499),A connective tissue cell of an organ found in the loose connective tissue. These are most often associated with the uterine mucosa and the ovary as well as the hematopoietic system and elsewhere.,connective tissue cell(CL_0002320)
mast cell(CL_0000097),"A cell that is found in almost all tissues containing numerous basophilic granules and capable of releasing large amounts of histamine and heparin upon activation. Progenitors leave bone marrow and mature in connective and mucosal tissue. Mature mast cells are found in all tissues, except the bloodstream. Their phenotype is CD117-high, CD123-negative, CD193-positive, CD200R3-positive, and FceRI-high. Stem-cell factor (KIT-ligand; SCF) is the main controlling signal of their survival and development.|Mast cells are generally integrin beta-7-negative and positive for TLR2, TLR3, TLR4, TLR5, TLR7, TLR9, C3aR, C5aR, CR3, CR4, VEGF, FGF2, and renin. They can express MHC Class I and II on their surface. Activated murine mast cells (IgE+Antigen) were capable of expressing the following co-stimulatory molecules: CD95 (Fas), CD120b, CD137 (4-1BB), CD153 (CD30L), CD154 (CD40L), GITR, ICOSL, OX40L, PD-L1, and PD-L2. Note that there was some mouse strain variation. Mast cells have also been demonstrated to produce bFGF, CCL2, CCL4, CCL5, CCL11, CCL20, CXCL2, CXCL8, CXCL10, GM-CSF, IFN-gamma, IL-1, IL-2, IL-3, IL-8, IL-10, IL-11, IL-12, IL-13, IL-16, IL-25, IL-18, MIP-1, prostaglandin D2, SCF, TGF-beta, TNF-alpha, TSLP, VEGF, and XCL1. They express the transcription factors Transcription factors AP-1, GATA1, MITF, Notch2, PIAS3, PU.1, and STAT5.",myeloid leukocyte(CL_0000766)|histamine secreting cell(CL_0002274)
mesothelial cell of visceral pleura(CL_1000493),A mesothelial cell that is part of the visceral pleura.,mesothelial cell of pleura(CL_1000491)|epithelial cell of lung(CL_0000082)
natural killer cell(CL_0000623),A lymphocyte that can spontaneously kill a variety of target cells without prior antigenic activation via germline encoded activation receptors and also regulate immune responses via cytokine release and direct contact with other cells.,group 1 innate lymphoid cell(CL_0001067)
granulocyte(CL_0000094),A leukocyte with abundant granules in the cytoplasm.,blood cell(CL_0000081)|myeloid leukocyte(CL_0000766)
neural cell(CL_0002319),A cell that is part of the nervous system.,animal cell(CL_0000548)|somatic cell(CL_0002371)
type II pneumocyte(CL_0002063),"A type II pneumocyte is a pneumocyte that modulates the fluid surrounding the alveolar epithelium by secreting and recycling surfactants. This cell type also contributes to tissue repair and can differentiate after injury into a type I pneumocyte. Thicker than squamous alveolar cells, have a rounded apical surface that projects above the level of surrounding epithelium. The free surface is covered by short microvilli.",surfactant secreting cell(CL_0000157)|lung secretory cell(CL_1000272)|pneumocyte(CL_0000322)
type I pneumocyte(CL_0002062),"A type I pneumocyte is a flattened, branched pneumocyte that covers more than 98% of the alveolar surface. This large cell has thin (50-100 nm) cytoplasmic extensions to form the air-blood barrier essential for normal gas exchange.",pneumocyte(CL_0000322)
pneumocyte(CL_0000322),An epithelial cell that lines the peripheral gas exchange region of the lungs of air-breathing vertebrates.,epithelial cell of alveolus of lung(CL_0010003)
adult endothelial progenitor cell(CL_0002619),"An adult angioblastic cell released from the bone marrow, capable of blood circulation and participation in angiogenesis by differentiating into blood vessel endothelial cells. Their existence is controversial.",angioblastic mesenchymal cell(CL_0000566)
pericyte cell(CL_0000669),"An elongated, contractile cell found wrapped about precapillary arterioles outside the basement membrane. Pericytes are present in capillaries where proper adventitia and muscle layer are missing (thus distingushing this cell type from adventitial cells). They are relatively undifferentiated and may become fibroblasts, macrophages, or smooth muscle cells.|Pericytes are CD10-positive, CD13-positive, CD31-negative, CD45-negative, CD106-positive, CD117-negative, CD140-positive, CD144-negative, CD146-positive, CD271-positive, CD325-positive, NG2-positive, RGS5-positive, SMA-positive, and desmin-positive. A subpopulation is CD248-positive. They are also capable of producing angiopoietin 1, CXCL12, TGF-beta, and VEGF-A.",mural cell(CL_0008034)|contractile cell(CL_0000183)|supportive cell(CL_0000630)|connective tissue cell(CL_0002320)
myoepithelial cell(CL_0000185),"Contractile cells resembling smooth muscle cells that are present in glands, notably the mammary gland, and aid in secretion. This cell has long weaving dendritic processes containing myofilament.",contractile cell(CL_0000183)|columnar/cuboidal epithelial cell(CL_0000075)|meso-epithelial cell(CL_0002078)
club cell(CL_0000158),Epithelial progenitor cell of the lung. Club cells are dome-shaped with short microvilli but no cilia. They function to protect the bronchiolar epithelium. Club cells also multiply and differentiate into ciliated cells to regenerate the bronchiolar epithelium.,surfactant secreting cell(CL_0000157)|bronchial epithelial cell(CL_0002328)
plasma cell(CL_0000786),"A terminally differentiated, post-mitotic, antibody secreting cell of the B cell lineage with the phenotype CD138-positive, surface immunonoglobulin-negative, and MHC Class II-negative. Plasma cells are oval or round with extensive rough endoplasmic reticulum, a well-developed Golgi apparatus, and a round nucleus having a characteristic cartwheel heterochromatin pattern and are devoted to producing large amounts of immunoglobulin.|Plasma cells develop in the spleen and migrate to the bone marrow. Plasma cells are also reportedly CD5-negative, CD10-negative, CD19-positive, CD20-negative, CD21-negative, CD22-negative, CD23-negative, CD24-negative, CD25-negative, CD27-positive, CD34-negative, CD38-positive, CD40-positive, CD43-positive, CD45-positive, CD48-positive, CD53-low, CD80-negative, CD81-positive, CD86-positive, CD95-positive, CD196-negative, CD229-positive, CD270-positive, CD352-positive, CD361-positive, and IgD-negative. Transcription factors: BLIMP1-positive, IRF4-positive, PAX5-negative, SpiB-negative, Ets1-negative, and XBP1-positive.",antibody secreting cell(CL_0000946)
myeloid cell(CL_0000763),"A cell of the monocyte, granulocyte, mast cell, megakaryocyte, or erythroid lineage.",hematopoietic cell(CL_0000988)
monocyte(CL_0000576),"Myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells.|Morphology: Mononuclear cell, diameter, 14 to 20 _M, N/C ratio 2:1-1:1. Nucleus may appear in variety of shapes: round, kidney, lobulated, or convoluted. Fine azurophilic granules present; markers: CD11b (shared with other myeloid cells), human: CD14, mouse: F4/80-mid,GR1-low; location: Blood, but can be recruited into tissues; role or process: immune & tissue remodelling; lineage: hematopoietic, myeloid.",mononuclear cell(CL_0000842)|progenitor cell(CL_0011026)|myeloid leukocyte(CL_0000766)
mesothelial cell(CL_0000077),A flattened epithelial cell of mesenchymal origin that lines the serous cavity.,lining cell(CL_0000213)|squamous epithelial cell(CL_0000076)|meso-epithelial cell(CL_0002078)
megakaryocyte(CL_0000556),"A giant cell 50 to 100 micron in diameter, with a greatly lobulated nucleus, found in the bone marrow; mature blood platelets are released from its cytoplasm.|Megakaryocytes are reportedly CD181-positive and CD182-positive.",myeloid cell(CL_0000763)|bone marrow hematopoietic cell(CL_1001610)
dendritic cell(CL_0000451),"A cell of hematopoietic origin, typically resident in particular tissues, specialized in the uptake, processing, and transport of antigens to lymph nodes for the purpose of stimulating an immune response via T cell activation. These cells are lineage negative (CD3-negative, CD19-negative, CD34-negative, and CD56-negative).",professional antigen presenting cell(CL_0000145)|mononuclear cell(CL_0000842)
regular cardiac myocyte(CL_0002098),A cardiac myocyte that is connected to other cardiac myocytes by transverse intercalated discs (GO:0014704) at a regular interval.,cardiac muscle cell(CL_0000746)
cardiac endothelial cell(CL_0010008),,cardiocyte(CL_0002494)|endothelial cell(CL_0000115)
lymphocyte(CL_0000542),"A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin.|Editors note: consider adding taxon constraint to vertebrata (PMID:18025161)",mononuclear cell(CL_0000842)
erythrocyte(CL_0000232),"A red blood cell. In mammals, mature erythrocytes are biconcave disks containing hemoglobin whose function is to transport oxygen.",blood cell(CL_0000081)|oxygen accumulating cell(CL_0000329)|erythroid lineage cell(CL_0000764)
erythroid lineage cell(CL_0000764),A immature or mature cell in the lineage leading to and including erythrocytes.|Note that in FMA erythropoietic cells are types of nucleated erythrocytes and thus don't include erythrocytes.,myeloid cell(CL_0000763)
endothelial cell of vascular tree(CL_0002139),"An endothelial cell of the vascular tree, which includes blood vessels and lymphatic vessels.|These cells are reportedly CD31-positive, CD34-positive, CD144-positive, TAL1-positive.",endothelial cell(CL_0000115)
astrocyte(CL_0000127),"A class of large neuroglial (macroglial) cells in the central nervous system - the largest and most numerous neuroglial cells in the brain and spinal cord. Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with 'end feet' which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier. They regulate the extracellular ionic and chemical environment, and 'reactive astrocytes' (along with microglia) respond to injury.|Astrocytes are reportedly CD68-negative, CD121a-positive, CD184-positive, CD192-positive, CRF-positive, EGFR-positive, GFAP-positive, GLUT1-positive, MBP-negative, and NGFR-positive.",macroglial cell(CL_0000126)
ependymal cell(CL_0000065),A neurectoderm derived cell that lines the neural lumen.,neurecto-epithelial cell(CL_0000710)|ciliated epithelial cell(CL_0000067)
excitatory neuron(CL_0008030),,secretory cell(CL_0000151)|neuron(CL_0000540)
granule cell(CL_0000120),,CNS neuron (sensu Vertebrata)(CL_0000117)
inhibitory neuron(CL_0008029),,secretory cell(CL_0000151)|neuron(CL_0000540)
microglial cell(CL_0000129),"A central nervous system macrophage found in the parenchyma of the central nervous system. Marker include CD11b-positive, F4/80-positive, and CD68-positive.|Markers: Mouse: CD11b+, F4/80+, CD68+. They represent ~12% of the cells in the CNS, but they are not uniformly distributed within the CNS. A normal adult mouse brain has approximately 3.5x10e6 microglia. Microglia are also reportedly CD3-negative, CD4-positive, CD8-negative, CD11b-positive, CD11c-high, CD14-negative, CD19-negative, CD45-low, CD56-negative, CD163-negative, CD200R-positive, CD281-positive, CD282-positive, CD283-positive, CD284-positive, CD285-positive, CD286-positive, CD287-positive, CD288-positive, CD289-positive, Gr1-negative, nestin-positive, and PU.1-positive.",glial cell(CL_0000125)|central nervous system macrophage(CL_0000878)
neural progenitor cell(CL_0011020),An undifferentiated cell that originates from a neural stem cell and has the capacity to generate multiple types of lineage-restricted progenitors but not to self-renew.,non-terminally differentiated cell(CL_0000055)
oligodendrocyte precursor cell(CL_0002453),The cell type from which oligodendrocytes develop. This cell originates from multiple structures within the developing brain including the medial ganglion eminence and the lateral ganglionic eminence. These cells migrate throughout the central nervous system and persist into adulthood where they play an important role in remyelination of injured neurons.,neuron associated cell (sensu Vertebrata)(CL_0000123)
oligodendrocyte(CL_0000128),A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system.|Oligodendrocytes are reportedly MDP-positive and CD4-negative.,macroglial cell(CL_0000126)
progenitor cell(CL_0011026),"A precursor cell that has a tendency to differentiate into a specific type of cell. They are descendants of stem cells, only they are more constrained in their differentiation potential or capacity for self-renewal, and are often more limited in both senses.",precursor cell(CL_0011115)
Purkinje cell(CL_0000121),The output neuron of the cerebellar cortex.,efferent neuron(CL_0000527)|CNS neuron (sensu Vertebrata)(CL_0000117)|cerebellar neuron(CL_1001611)
mature NK T cell(CL_0000814),A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.,mature alpha-beta T cell(CL_0000791)
retinal melanocyte(CL_0002485),A melanocyte of the retina. This cell type is distinct from pigmented retinal epithelium.,melanocyte(CL_0000148)
retinal pigment epithelial cell(CL_0002586),An epithelial cell of the retinal pigmented epithelium.,epithelial cell(CL_0000066)|visual pigment cell(CL_0000149)|retinal cell(CL_0009004)
amacrine cell(CL_0000561),"Interneuron of the vertebrate retina. They integrate, modulate, and interpose a temporal domain in the visual message presented to the retinal ganglion cells, with which they synapse in the inner plexiform layer. They lack large axons.|Not clear if this term overlaps with retinal bipolar neuron (CL:0000748).",interneuron(CL_0000099)
retinal bipolar neuron(CL_0000748),A bipolar neuron found in the retina and having connections with photoreceptors cells and neurons in the inner plexiform layer.,excitatory neuron(CL_0008030)|visual system neuron(CL_0008028)|bipolar neuron(CL_0000103)|glutamatergic neuron(CL_0000679)|retinal cell(CL_0009004)
retinal cone cell(CL_0000573),"One of the two photoreceptor cell types in the vertebrate retina. In cones the photopigment is in invaginations of the cell membrane of the outer segment. Cones are less sensitive to light than rods, but they provide vision with higher spatial and temporal acuity, and the combination of signals from cones with different pigments allows color vision.",camera-type eye photoreceptor cell(CL_0010009)
retinal ganglion cell(CL_0000740),"The set of neurons that receives neural inputs via bipolar, horizontal and amacrine cells. The axons of these cells make up the optic nerve.",CNS neuron (sensu Vertebrata)(CL_0000117)|retinal cell(CL_0009004)
retina horizontal cell(CL_0000745),A neuron that laterally connects other neurons in the inner nuclear layer of the retina.,interneuron(CL_0000099)|retinal cell(CL_0009004)
Muller cell(CL_0011107),"Astrocyte-like radial glial cell that extends vertically throughout the retina, with the nucleus are usually in the middle of the inner nuclear layer.",radial glial cell(CL_0000681)|retinal cell(CL_0009004)
retinal rod cell(CL_0000604),"One of the two photoreceptor cell types of the vertebrate retina. In rods the photopigment is in stacks of membranous disks separate from the outer cell membrane. Rods are more sensitive to light than cones, but rod mediated vision has less spatial and temporal resolution than cone vision.",camera-type eye photoreceptor cell(CL_0010009)
Schwann cell(CL_0002573),A glial cell that ensheathes axons of neuron in the peripheral nervous system and are necessary for their maintainance and function.,glial cell(CL_0000125)
neutrophil(CL_0000775),"Any of the immature or mature forms of a granular leukocyte that in its mature form has a nucleus with three to five lobes connected by slender threads of chromatin, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes.",granulocyte(CL_0000094)
motor neuron(CL_0000100),An efferent neuron that passes from the central nervous system or a ganglion toward or to a muscle and conducts an impulse that causes or inhibits movement.,efferent neuron(CL_0000527)
sympathetic neuron(CL_0011103),Sympathetic neurons are part of the sympathetic nervous system and are primarily adrenergic producing the neurotransmitter noradrenalin along with other neuropeptides.,autonomic neuron(CL_0000107)
female germ cell(CL_0000021),Female germ cell is a germ cell that supports female gamete production.,germ cell(CL_0000586)
luminal cell of prostate epithelium(CL_0002340),"The exocrine cell of the prostate, this epithelial cell secretes prostatic acid phosphotase and PSA, and is dependent on androgen hormones for survival.",epithelial cell of prostate(CL_0002231)
endocrine cell(CL_0000163),"A cell of an endocrine gland, ductless glands that secrete substances which are released directly into the circulation and which influence metabolism and other body functions.",secretory cell(CL_0000151)
keratinocyte(CL_0000312),"An epidermal cell which synthesizes keratin and undergoes a characteristic change as it moves upward from the basal layers of the epidermis to the cornified (horny) layer of the skin. Successive stages of differentiation of the keratinocytes forming the epidermal layers are basal cell, spinous or prickle cell, and the granular cell.|Keratinocytes are reportedly CDw210a-negative, CDw210b-positive, CD281-positive, CD282-positive, CD285-positive, IL22Ra1-positive, Human keratinocytes are reportedly capable of secreting BD-2, BD-3, hCAP-18, CXCL1, CXCL5, CXCL8, elafin, MMP-3, NGAL, PDGF-A, S100A7, S100A8, and S100A9. Transcription factors: STAT3-positive.",keratinizing barrier epithelial cell(CL_0000237)|epidermal cell(CL_0000362)
acinar cell(CL_0000622),A secretory cell that is grouped together with other cells of the same type to form grape shaped clusters known as acini (singular acinus).,glandular epithelial cell(CL_0000150)|protein secreting cell(CL_0000154)
Sertoli cell(CL_0000216),A supporting cell projecting inward from the basement membrane of seminiferous tubules. They surround and nourish the developing male germ cells and secrete androgen binding protein. Their tight junctions with the spermatogonia and spermatocytes provide a blood-testis barrier.,androgen binding protein secreting cell(CL_0000511)|supportive cell(CL_0000630)|seminiferous tubule epithelial cell(CL_0002625)
kidney tubule cell(CL_1000507),,epithelial cell of nephron(CL_1000449)
cell of skeletal muscle(CL_0000188),A somatic cell located in skeletal muscle.,somatic cell(CL_0002371)
enterocyte(CL_0000584),An epithelial cell that has its apical plasma membrane folded into microvilli to provide ample surface for the absorption of nutrients from the intestinal lumen.,gut absorptive cell(CL_0000677)|brush border epithelial cell(CL_0000239)|intestinal epithelial cell(CL_0002563)
myofibroblast cell(CL_0000186),"An animal cell that has characteristics of both a fibroblast cell and a smooth muscle cell.|Myofibroblasts are alpha-SMA-positive, CD34-negative, CD45-negative. They are reportedly capable of secreting IL-1beta, IL-6, and TNF-alpha.",contractile cell(CL_0000183)|animal cell(CL_0000548)|somatic cell(CL_0002371)
professional antigen presenting cell(CL_0000145),"A cell capable of processing and presenting lipid and protein antigens to T cells in order to initiate an immune response.|Note change of name; nearly all somatic cells can present antigens to T cells via MHC Class I complexes leading to effector responses, but professional antigen presenting cells constitutively express MHC Class II as well as costimulatory molecules, and thus can initiate immune responses via T cells.",leukocyte(CL_0000738)
epithelial cell(CL_0000066),A cell that is usually found in a two-dimensional sheet with a free surface. The cell has a cytoskeleton that allows for tight cell to cell contact and for cell polarity where apical part is directed towards the lumen and the basal part to the basal lamina.,animal cell(CL_0000548)
enteric neuron(CL_0007011),Neuron that is part of the enteric nervous system.,autonomic neuron(CL_0000107)|neuron neural crest derived(CL_0000029)
adipocyte of omentum tissue(CL_0002615),A fat cell that is part of omentum tissue.,fat cell(CL_0000136)
paneth cell(CL_0000510),"An epithelial cell found in the basal part of the intestinal glands (crypts of Lieberkuhn) including the appendix. Paneth cells synthesize and secrete lysozyme and cryptdins. Numerous in the deeper parts of the intestinal crypts, particularly in the duodenum, rich in zinc, contain large acidophilic granules, with irregular apical microvilli and prominent membrane-bound vacuoles containing matrix.",lysozyme secreting cell(CL_0000323)|glandular epithelial cell(CL_0000150)|intestinal epithelial cell(CL_0002563)
enteroendocrine cell(CL_0000164),An endocrine cell that is located in the epithelium of the gastrointestinal tract or in the pancreas.,endocrine cell(CL_0000163)|glandular epithelial cell(CL_0000150)
urothelial cell(CL_0000731),"A cell of a layer of transitional epithelium in the wall of the bladder, ureter, and renal pelvis, external to the lamina propria.",transitional epithelial cell(CL_0000244)
urethra urothelial cell(CL_1001430),,epithelial cell of urethra(CL_1000296)|urothelial cell(CL_0000731)
kidney loop of Henle epithelial cell(CL_1000909),,nephron tubule epithelial cell(CL_1000494)
kidney proximal convoluted tubule epithelial cell(CL_1000838),,epithelial cell of proximal tubule(CL_0002306)
kidney distal convoluted tubule epithelial cell(CL_1000849),,epithelial cell of distal tubule(CL_0002305)
kidney collecting duct cell(CL_1001225),,epithelial cell of nephron(CL_1000449)
podocyte (sensu Diptera)(CL_0000391),An insect immune cell that develops from plasmatocyte.,hemocyte (sensu Arthropoda)(CL_0000387)
erythroid progenitor cell(CL_0000038),A progenitor cell committed to the erythroid lineage.,myeloid lineage restricted progenitor cell(CL_0000839)|erythroid lineage cell(CL_0000764)
mesangial cell(CL_0000650),A cell type that encapsulates the capillaries and venules in the kidney. This cell secretes mesangial matrix that provides the structural support for the capillaries.|Do all of these cells really develop from some mesenchymal stem cell?,pericyte cell(CL_0000669)
inactive chief cell of parathyoid gland(CL_0002197),"A parathyroid chief cell that is not actively secreting hormone. Contains small Golgi complexes with only a few grouped vesicles and membrane-bound secretory granules; glycogen and many lipofuscin granules abound but sacs of granular endoplasmic reticulum are rare and dispersed. In normal humans, inactive chief cells out number active chief cells in a ratio of 3-5:1.",chief cell of parathyroid gland(CL_0000446)
parietal cell(CL_0000162),"A large, oval stomach epithelial cell with a central nucleus; source of gastric acid. Secretes HCl.",glandular cell of stomach(CL_0002659)|acid secreting cell(CL_0000161)
type D cell of stomach(CL_0002267),A type D cell found in the stomach.,glandular cell of stomach(CL_0002659)|type D enteroendocrine cell(CL_0000502)
chromaffin cell(CL_0000166),"A cell that stores epinephrine secretory vesicles. During times of stress, the nervous system signals the vesicles to secrete their hormonal content. Their name derives from their ability to stain a brownish color with chromic salts. Characteristically, they are located in the adrenal medulla and paraganglia of the sympathetic nervous system.",amine precursor uptake and decarboxylation cell(CL_0000568)
inflammatory cell(CL_0009002),"Any cell participating in the inflammatory response to a foreign substance, e.g. neutrophil, macrophage.",somatic cell(CL_0002371)
